       1         279.85195142          89.25784949        -164.98691845         -75.72906896
     100         349.51976180         111.47816599 -4783305153688.76660156 -4783305153577.28808594
     200         331.61578861         105.76775327 -4829228762678.70214844 -4829228762572.93457031
     300         348.39297188         111.11878010 -4868649303987.18652344 -4868649303876.06738281
     400         310.34105374          98.98224732 -4783826633617.37695312 -4783826633518.39453125
     500         334.20894077         106.59483053 -4851392615038.16406250 -4851392614931.56933594
     600         315.15611025         100.51799358 -4851719070706.70019531 -4851719070606.18261719
     700         321.07174017         102.40476408 -4852357573768.62695312 -4852357573666.22265625
     800         330.40707550         105.38223824 -4840367299725.86816406 -4840367299620.48632812
     900         329.56546572         105.11380960 -4818815862358.20996094 -4818815862253.09570312
    1000         323.93344654         103.31749581 -4778055768926.31542969 -4778055768822.99804688
    1100         322.48080009         102.85417905 -4855587162057.67578125 -4855587161954.82128906
    1200         309.94650659          98.85640781 -4794626269258.81445312 -4794626269159.95800781
    1300         309.41118363          98.68566833 -4791328466075.27343750 -4791328465976.58789062
    1400         316.65713390         100.99674008 -4848398097259.71386719 -4848398097158.71679688
    1500         327.54846625         104.47049433 -4835744594371.31933594 -4835744594266.84863281
    1600         306.94545958          97.89923385 -4741948736302.08398438 -4741948736204.18457031
    1700         328.22991488         104.68784010 -4811838266377.99609375 -4811838266273.30859375
    1800         316.15376241         100.83619142 -4818408461163.02539062 -4818408461062.18945312
    1900         315.31222630         100.56778628 -4857565183241.09277344 -4857565183140.52539062
    2000         311.37292492          99.31135920 -4804114991897.86035156 -4804114991798.54882812
    2100         310.44132394          99.01422816 -4873803357058.86230469 -4873803356959.84765625
    2200         314.28426815         100.23992244 -4857977386071.78808594 -4857977385971.54785156
    2300         302.34392850          96.43159081 -4833310397343.80664062 -4833310397247.37500000
    2400         327.70930078         104.52179196 -4851319536083.06054688 -4851319535978.53906250
    2500         323.65453754         103.22853871 -4866041273956.16503906 -4866041273852.93652344
    2600         342.87507695         109.35886585 -4782830908953.79296875 -4782830908844.43457031
    2700         349.59494473         111.50214534 -4794515880017.32519531 -4794515879905.82324219
    2800         367.75950677         117.29567201 -4811240483650.00683594 -4811240483532.71093750
    2900         276.46608285          88.17793797 -4846973933584.35351562 -4846973933496.17578125
    3000         304.87894623          97.24012629 -4840902823649.02148438 -4840902823551.78125000
    3100         290.75149825          92.73422372 -4909941547254.84082031 -4909941547162.10644531
    3200         285.47484140          91.05125156 -4856237949786.01562500 -4856237949694.96484375
    3300         332.37366140         106.00947428 -4835194252842.10937500 -4835194252736.09960938
    3400         300.09236508          95.71346214 -4800540075768.75878906 -4800540075673.04492188
    3500         325.13839425         103.70180988 -4836010630483.63671875 -4836010630379.93457031
    3600         327.29817909         104.39066607 -4837873361962.75195312 -4837873361858.36132812
    3700         326.99225398         104.29309227 -4859942094894.10058594 -4859942094789.80761719
    3800         288.25758851          91.93879950 -4861368601416.06738281 -4861368601324.12890625
    3900         342.20694415         109.14576712 -4787520801059.11718750 -4787520800949.97167969
    4000         337.66763863         107.69797071 -4829967939240.73242188 -4829967939133.03417969
    4100         301.42948386          96.13993173 -4847461563169.00195312 -4847461563072.86230469
    4200         312.29702329          99.60609730 -4783280107065.48242188 -4783280106965.87597656
    4300         311.01902144          99.19848286 -4782375162765.75585938 -4782375162666.55761719
    4400         305.88749408          97.56179927 -4798971575799.14648438 -4798971575701.58496094
    4500         346.73178355         110.58894960 -4761704033479.32714844 -4761704033368.73828125
    4600         311.69574891          99.41432284 -4789218959992.73339844 -4789218959893.31933594
    4700         304.02403806          96.96745616 -4840495561015.56542969 -4840495560918.59765625
    4800         335.78068244         107.09613231 -4854246334507.87304688 -4854246334400.77734375
    4900         327.71496176         104.52359752 -4860217551532.21777344 -4860217551427.69433594
    5000         300.88883490          95.96749354 -4824436470887.10156250 -4824436470791.13378906
    5100         291.34652663          92.92400604 -4732064382941.06640625 -4732064382848.14257812
    5200         303.70339423          96.86518788 -4839156965340.95214844 -4839156965244.08691406
    5300         332.70199695         106.11419581 -4814085403704.34765625 -4814085403598.23339844
    5400         302.07468871          96.34571767 -4817593976903.69140625 -4817593976807.34570312
    5500         327.65257007         104.50369789 -4761980510808.95019531 -4761980510704.44628906
    5600         305.17519049          97.33461241 -4808806572987.75585938 -4808806572890.42089844
    5700         322.68523079         102.91938154 -4744062286482.58105469 -4744062286379.66210938
    5800         289.78109981          92.42471836 -4799858365046.34765625 -4799858364953.92285156
    5900         286.36985016          91.33671163 -4865420484815.52539062 -4865420484724.18847656
    6000         331.36497600         105.68775742 -4786461493824.76269531 -4786461493719.07519531
    6100         317.77966610         101.35476800 -4890477242131.49023438 -4890477242030.13574219
    6200         284.65978971          90.79129353 -4829350112663.72558594 -4829350112572.93457031
    6300         326.37168120         104.09516265 -4805705085786.55859375 -4805705085682.46386719
    6400         310.37701216          98.99371613 -4804625578884.89257812 -4804625578785.89843750
    6500         326.39360474         104.10215509 -4835653702478.09082031 -4835653702373.98828125
    6600         328.08096337         104.64033251 -4742898659111.24414062 -4742898659006.60351562
    6700         294.24046556          93.84701824 -4848963976371.95996094 -4848963976278.11328125
    6800         328.30969062         104.71328431 -4798691039839.15234375 -4798691039734.43945312
    6900         333.05064585         106.22539622 -4798990367375.71289062 -4798990367269.48730469
    7000         347.06381894         110.69485119 -4823032365933.80175781 -4823032365823.10644531
    7100         331.12104685         105.60995703 -4803191079204.49023438 -4803191079098.87988281
    7200         337.41325201         107.61683495 -4836431965198.59082031 -4836431965090.97363281
    7300         323.60102894         103.21147232 -4831968982906.61035156 -4831968982803.39843750
    7400         287.82173805          91.79978644 -4837821814090.95898438 -4837821813999.15917969
    7500         317.97613470         101.41743100 -4831398965162.56445312 -4831398965061.14746094
    7600         299.61908106          95.56250977 -4821196000223.08691406 -4821196000127.52441406
    7700         304.35306640          97.07239866 -4792001209130.65722656 -4792001209033.58496094
    7800         340.10545682         108.47550472 -4828027270768.23046875 -4828027270659.75488281
    7900         302.59627303          96.51207526 -4858701004468.26074219 -4858701004371.74902344
    8000         340.39580215         108.56810940 -4800776096690.33984375 -4800776096581.77148438
    8100         291.92542559          93.10864394 -4832549572849.29296875 -4832549572756.18457031
    8200         313.43297566          99.96840553 -4834584548275.55566406 -4834584548175.58691406
    8300         340.02695065         108.45046544 -4771471289048.12304688 -4771471288939.67285156
    8400         325.35698939         103.77153007 -4825996309859.92187500 -4825996309756.15039062
    8500         326.26097433         104.05985306 -4968620810474.49902344 -4968620810370.43945312
    8600         311.04151872          99.20565829 -4929144075077.50097656 -4929144074978.29492188
    8700         335.36892248         106.96480284 -4843794012877.75488281 -4843794012770.79003906
    8800         343.83872117         109.66621698 -4834906246816.61328125 -4834906246706.94726562
    8900         328.42599328         104.75037865 -4861703171906.93847656 -4861703171802.18847656
    9000         297.37893206          94.84802170 -4898227474712.10351562 -4898227474617.25585938
    9100         322.15071655         102.74890000 -4874995908127.61328125 -4874995908024.86425781
    9200         335.93148055         107.14422887 -4849055604751.35449219 -4849055604644.20996094
    9300         344.36071877         109.83270637 -4786659295473.61328125 -4786659295363.78027344
