       1         302.54042389          96.49426236        -164.98691845         -68.49265610
     100         389.13003839         124.11173202 -4813982315250.81640625 -4813982315126.70507812
     200         294.50692588          93.93200488 -4808346251528.16113281 -4808346251434.22949219
     300         279.55956641          89.16459427 -4870074273122.95312500 -4870074273033.78808594
     400         309.39549133          98.68066333 -4833652916035.10546875 -4833652915936.42480469
     500         302.38195104          96.44371797 -4816746350312.19140625 -4816746350215.74804688
     600         317.18416873         101.16483609 -4864876595394.01269531 -4864876595292.84765625
     700         322.30925848         102.79946643 -4821717118336.79492188 -4821717118233.99511719
     800         305.28870706          97.37081814 -4822272743131.16894531 -4822272743033.79785156
     900         308.04909753          98.25123550 -4805520759404.68750000 -4805520759306.43652344
    1000         298.92558209          95.34132059 -4804387857427.77832031 -4804387857332.43652344
    1100         292.90818758          93.42209261 -4780658235492.91503906 -4780658235399.49316406
    1200         317.91909601         101.39923870 -4854630468884.14843750 -4854630468782.74902344
    1300         294.86517188          94.04626625 -4771782910987.16992188 -4771782910893.12402344
    1400         313.99862326         100.14881695 -4813662131958.74121094 -4813662131858.59277344
    1500         322.31567707         102.80151362 -4805558509547.46777344 -4805558509444.66601562
    1600         296.34643547          94.51871035 -4837376562317.87304688 -4837376562223.35449219
    1700         329.03344174         104.94412232 -4825908061314.99218750 -4825908061210.04785156
    1800         292.04213509          93.14586805 -4809445824284.54785156 -4809445824191.40234375
    1900         293.88025283          93.73212959 -4863471255695.05566406 -4863471255601.32324219
    2000         299.30110942          95.46109378 -4838095940758.79589844 -4838095940663.33496094
    2100         288.08647745          91.88422420 -4851434454686.80566406 -4851434454594.92187500
    2200         288.02419089          91.86435811 -4799677551185.08496094 -4799677551093.22070312
    2300         319.57240422         101.92655586 -4774480277696.71484375 -4774480277594.78808594
    2400         294.41927820          93.90404994 -4831974300099.05761719 -4831974300005.15332031
    2500         294.81978117          94.03178903 -4761882531448.18261719 -4761882531354.15039062
    2600         283.75723132          90.50342554 -4810056745306.75195312 -4810056745216.24804688
    2700         345.92135526         110.33046619 -4808675571743.37597656 -4808675571633.04589844
    2800         317.81767475         101.36689073 -4781227380680.10351562 -4781227380578.73632812
    2900         316.63276606         100.98896804 -4838728980010.34667969 -4838728979909.35742188
    3000         294.16655834          93.82344578 -4788833308540.59082031 -4788833308446.76757812
    3100         289.64334518          92.38078198 -4805908267840.89257812 -4805908267748.51171875
    3200         315.48959147         100.62435631 -4766050599457.46582031 -4766050599356.84179688
    3300         321.22025172         102.45213134 -4779418723324.77148438 -4779418723222.31933594
    3400         288.53064012          92.02588840 -4800564194153.40820312 -4800564194061.38183594
    3500         287.12380611          91.57718337 -4842321429957.05175781 -4842321429865.47460938
    3600         319.33711198         101.85151018 -4822823661493.27929688 -4822823661391.42773438
    3700         270.39116806          86.24036410 -4885007801799.02734375 -4885007801712.78710938
    3800         291.27677182          92.90175798 -4831819853005.41406250 -4831819852912.51269531
    3900         296.84550720          94.67788761 -4814526813970.19433594 -4814526813875.51660156
    4000         290.62250181          92.69308073 -4844745983156.42871094 -4844745983063.73535156
    4100         318.18183452         101.48303828 -4840627622315.63476562 -4840627622214.15136719
    4200         313.95749567         100.13569944 -4790947261415.65917969 -4790947261315.52343750
    4300         276.87853643          88.30948867 -4838645366998.62792969 -4838645366910.31835938
    4400         297.92017120          95.02064812 -4826969713030.79101562 -4826969712935.77050781
    4500         322.22016621         102.77105074 -4819589610308.66992188 -4819589610205.89843750
    4600         291.55248377          92.98969539 -4837735556512.00781250 -4837735556419.01855469
    4700         294.44568622          93.91247269 -4780877888691.37890625 -4780877888597.46679688
    4800         296.43026730          94.54544823 -4854328116066.28906250 -4854328115971.74316406
    4900         295.65696875          94.29880723 -4823399397715.99902344 -4823399397621.70019531
    5000         298.03270991          95.05654197 -4836048632654.99023438 -4836048632559.93359375
    5100         286.36534988          91.33527628 -4780680310112.85937500 -4780680310021.52441406
    5200         296.54112332          94.58080539 -4730092274242.22070312 -4730092274147.63964844
    5300         308.20740497          98.30172713 -4799411964373.53125000 -4799411964275.22949219
    5400         310.16383292          98.92572332 -4836461925261.52343750 -4836461925162.59765625
    5500         303.29705211          96.73558641 -4737779008525.20703125 -4737779008428.47167969
    5600         288.37453578          91.97609944 -4812517248801.46972656 -4812517248709.49316406
    5700         288.53873293          92.02846958 -4794259210278.45507812 -4794259210186.42675781
    5800         293.47213984          93.60196331 -4817226327821.09960938 -4817226327727.49804688
    5900         307.82754533          98.18057216 -4824092891880.09277344 -4824092891781.91210938
    6000         255.06036713          81.35065611 -4832768071583.00878906 -4832768071501.65820312
    6100         317.01377189         101.11048858 -4882009778785.31347656 -4882009778684.20312500
    6200         305.46963646          97.42852497 -4811911591135.70312500 -4811911591038.27441406
    6300         281.26487117          89.70849555 -4810816464992.91601562 -4810816464903.20800781
    6400         292.95643189          93.43747998 -4802926985284.81250000 -4802926985191.37500000
    6500         310.81245076          99.13259783 -4880277290065.13281250 -4880277289966.00000000
    6600         317.03596802         101.11756797 -4844174918317.92871094 -4844174918216.81152344
    6700         262.66852440          83.77725258 -4831308804539.93847656 -4831308804456.16113281
    6800         275.67890096          87.92686892 -4837840813306.85546875 -4837840813218.92871094
    6900         303.23853680          96.71692315 -4859870462833.43164062 -4859870462736.71484375
    7000         306.65706101          97.80725008 -4806796978801.33886719 -4806796978703.53125000
    7100         286.52375259          91.38579830 -4826975327280.46777344 -4826975327189.08203125
    7200         282.89540683          90.22854948 -4795812378416.50000000 -4795812378326.27148438
    7300         314.04106820         100.16235463 -4843194565548.48144531 -4843194565448.31933594
    7400         305.48910438          97.43473420 -4815670966636.31347656 -4815670966538.87890625
    7500         293.73898496          93.68707267 -4736147841988.01269531 -4736147841894.32519531
    7600         274.56808346          87.57257738 -4782791603205.18066406 -4782791603117.60839844
    7700         293.33884527          93.55944945 -4804548655145.81640625 -4804548655052.25683594
    7800         288.70168428          92.08044237 -4800759695871.48925781 -4800759695779.40917969
    7900         276.42287936          88.16415836 -4770838201061.88476562 -4770838200973.72070312
    8000         312.93904018          99.81086645 -4772868790906.48535156 -4772868790806.67480469
    8100         275.75706794          87.95180002 -4874487493544.48144531 -4874487493456.52929688
    8200         286.04235732          91.23225888 -4810164657252.27539062 -4810164657161.04296875
    8300         279.84506817          89.25565410 -4831941836267.79296875 -4831941836178.53710938
    8400         293.66560072          93.66366701 -4799741077625.53515625 -4799741077531.87109375
    8500         266.02651151          84.84827140 -4806686989475.77929688 -4806686989390.93066406
    8600         265.67836688          84.73723183 -4818279181635.91308594 -4818279181551.17578125
    8700         282.74771524          90.18144374 -4845860408654.38183594 -4845860408564.20019531
    8800         294.23643750          93.84573351 -4831139292540.68750000 -4831139292446.84179688
