       1         299.26659311          95.45008492        -164.98691845         -69.53683354
     100         375.14175493         119.65021552 -4799340679310.92382812 -4799340679191.27343750
     200         277.70311106          88.57248401 -4872315687650.79101562 -4872315687562.21875000
     300         317.00851191         101.10881093 -4798051087394.32519531 -4798051087293.21679688
     400         269.24852324          85.87592133 -4775221578740.24609375 -4775221578654.37011719
     500         282.87319431          90.22146487 -4769182934996.18554688 -4769182934905.96386719
     600         294.90125249          94.05777404 -4854793540120.16015625 -4854793540026.10253906
     700         336.67170536         107.38032111 -4782940429915.61425781 -4782940429808.23437500
     800         311.87448351          99.47132964 -4825689194712.27832031 -4825689194612.80664062
     900         282.08981338          89.97160813 -4817784473895.22656250 -4817784473805.25488281
    1000         303.11623248          96.67791459 -4870574231873.04101562 -4870574231776.36328125
    1100         316.07642988         100.81152647 -4874136816148.76660156 -4874136816047.95507812
    1200         304.58897573          97.14764116 -4811603587034.26367188 -4811603586937.11621094
    1300         331.21931076         105.64129798 -4850815906297.28515625 -4850815906191.64355469
    1400         286.26381903          91.30289335 -4799652529268.50195312 -4799652529177.19921875
    1500         287.79940321          91.79266282 -4707011272341.56445312 -4707011272249.77148438
    1600         328.83528060         104.88091948 -4850263628751.51562500 -4850263628646.63476562
    1700         340.40795123         108.57198431 -4816359408374.78320312 -4816359408266.21093750
    1800         311.09234110          99.22186792 -4844062874187.84570312 -4844062874088.62402344
    1900         321.31976835         102.48387184 -4812402247468.57031250 -4812402247366.08691406
    2000         326.28588246         104.06779742 -4870913042555.72167969 -4870913042451.65429688
    2100         320.20604425         102.12865324 -4804845509341.95507812 -4804845509239.82617188
    2200         291.42951785          92.95047582 -4869648551236.17578125 -4869648551143.22558594
    2300         310.26275175          98.95727315 -4855613842361.33105469 -4855613842262.37402344
    2400         294.54180550          93.94312962 -4791599372766.74023438 -4791599372672.79687500
    2500         326.40227964         104.10492192 -4802539267761.43261719 -4802539267657.32812500
    2600         322.23342236         102.77527875 -4873435229140.50000000 -4873435229037.72460938
    2700         293.26341969          93.53539271 -4885899895901.24414062 -4885899895807.70898438
    2800         305.99971669          97.59759230 -4881853280163.47265625 -4881853280065.87500000
    2900         310.55965592          99.05196975 -4820502248278.76757812 -4820502248179.71582031
    3000         343.56511858         109.57895234 -4884497862818.34863281 -4884497862708.76953125
    3100         311.92100191          99.48616653 -4863329875628.50878906 -4863329875529.02246094
    3200         338.97370380         108.11453586 -4848624420781.01757812 -4848624420672.90332031
    3300         312.66212368          99.72254486 -4775026797500.31054688 -4775026797400.58789062
    3400         312.92111931          99.80515065 -4833228536660.66601562 -4833228536560.86132812
    3500         329.57941143         105.11825754 -4812785875687.97070312 -4812785875582.85253906
    3600         300.41126271          95.81517348 -4737087538217.38574219 -4737087538121.57031250
    3700         315.17808688         100.52500295 -4874614730599.38671875 -4874614730498.86132812
    3800         283.39391181          90.38754599 -4847289648366.83300781 -4847289648276.44531250
    3900         330.33136429         105.35809040 -4853875024253.46191406 -4853875024148.10351562
    4000         327.80151442         104.55120320 -4815657784419.18554688 -4815657784314.63476562
    4100         304.09999876          96.99168358 -4833808708971.69726562 -4833808708874.70605469
    4200         345.09726386         110.06762498 -4798693293391.65917969 -4798693293281.59179688
    4300         325.11942188         103.69575870 -4848064680565.44335938 -4848064680461.74804688
    4400         319.51999485         101.90984006 -4852861727395.82421875 -4852861727293.91406250
    4500         294.72619795          94.00194097 -4863348420324.86328125 -4863348420230.86132812
    4600         291.33165400          92.91926247 -4787720089646.66015625 -4787720089553.74121094
    4700         282.79254997          90.19574363 -4800881339059.19140625 -4800881338968.99609375
    4800         300.65232782          95.89206039 -4894633388786.47363281 -4894633388690.58203125
    4900         318.20182531         101.48941427 -4770284834438.52929688 -4770284834337.04003906
    5000         346.35497433         110.46876755 -4848394018821.12304688 -4848394018710.65429688
    5100         317.21865841         101.17583646 -4836836540466.57519531 -4836836540365.39941406
    5200         342.27109524         109.16622790 -4890166694726.71191406 -4890166694617.54589844
    5300         315.07452166         100.49197117 -4917274400673.33984375 -4917274400572.84765625
    5400         291.22860051          92.88639390 -4781918134770.84667969 -4781918134677.95996094
    5500         302.90081302          96.60920727 -4867314126510.87695312 -4867314126414.26757812
    5600         306.41633309          97.73047071 -4856584669912.02148438 -4856584669814.29101562
    5700         308.34537933          98.34573360 -4857340762389.84765625 -4857340762291.50195312
    5800         305.11754641          97.31622702 -4835652186015.20996094 -4835652185917.89355469
    5900         317.66828854         101.31924449 -4848807607802.67480469 -4848807607701.35546875
    6000         317.29064925         101.19879770 -4777875271575.29882812 -4777875271474.09960938
    6100         307.02871332          97.92578735 -4788307114327.38769531 -4788307114229.46191406
    6200         300.93845473          95.98331962 -4796246801708.62695312 -4796246801612.64355469
    6300         308.51975006          98.40134856 -4749636844871.95800781 -4749636844773.55664062
    6400         321.01672294         102.38721651 -4759194354102.48339844 -4759194354000.09570312
    6500         309.38850918          98.67843639 -4835555768364.28417969 -4835555768265.60546875
    6600         284.36994534          90.69884864 -4857199150966.55273438 -4857199150875.85351562
    6700         303.81020064          96.89925343 -4802283900795.62304688 -4802283900698.72363281
    6800         308.42977401          98.37265100 -4780816922120.29980469 -4780816922021.92675781
    6900         312.35200467          99.62363343 -4829156105097.60058594 -4829156104997.97656250
    7000         328.80337746         104.87074409 -4797845784725.69238281 -4797845784620.82128906
