       1         188.33541490          60.06895443        -164.98691845        -104.91796402
     100         328.33646679         104.72182448 -4788925446352.65625000 -4788925446247.93457031
     200         205.25094426          65.46410629 -4772394162389.54785156 -4772394162324.08398438
     300         213.88665940          68.21843892 -4812333465315.85253906 -4812333465247.63378906
     400         219.60841388          70.04337349 -4822580535653.16601562 -4822580535583.12304688
     500         224.22962064          71.51729202 -4815273530798.23144531 -4815273530726.71386719
     600         208.85189133          66.61261638 -4815749940555.68750000 -4815749940489.07519531
     700         201.91206847          64.39918295 -4745225806954.28027344 -4745225806889.88085938
     800         200.54060764          63.96176008 -4861860250400.54003906 -4861860250336.57812500
     900         197.04999359          62.84844033 -4816816381625.80566406 -4816816381562.95703125
    1000         194.08593883          61.90306492 -4803716115846.64062500 -4803716115784.73730469
    1100         202.98054396          64.73996966 -4824984563853.33789062 -4824984563788.59765625
    1200         193.44102563          61.69737200 -4854899072750.56738281 -4854899072688.87011719
    1300         212.26587878          67.70149633 -4855666794531.46582031 -4855666794463.76464844
    1400         189.36040464          60.39587150 -4818384867367.92675781 -4818384867307.53125000
    1500         204.41265635          65.19673714 -4807123691221.99218750 -4807123691156.79589844
    1600         183.81804795          58.62815526 -4818155340849.25585938 -4818155340790.62792969
    1700         204.01458906          65.06977491 -4823630815010.96777344 -4823630814945.89843750
    1800         205.24826543          65.46325188 -4841876435090.12695312 -4841876435024.66406250
    1900         206.43837953          65.84283482 -4811075935596.33300781 -4811075935530.49023438
    2000         203.58712574          64.93343690 -4772577172167.24121094 -4772577172102.30761719
    2100         209.47453348          66.81120602 -4799591297867.20898438 -4799591297800.39746094
    2200         212.81303864          67.87601115 -4709891003694.87890625 -4709891003627.00292969
    2300         197.54674476          63.00687747 -4713183306581.04882812 -4713183306518.04199219
    2400         197.53330635          63.00259133 -4787589274687.41406250 -4787589274624.41113281
    2500         188.70060313          60.18543001 -4778421053655.14062500 -4778421053594.95507812
    2600         193.67646875          61.77246580 -4768222707667.45800781 -4768222707605.68554688
    2700         206.66054098          65.91369247 -4820830921128.42578125 -4820830921062.51171875
    2800         190.56992946          60.78164542 -4823962425090.66113281 -4823962425029.87988281
    2900         216.94047637          69.19244369 -4832861504508.27539062 -4832861504439.08300781
    3000         217.06158970          69.23107238 -4738670255006.47070312 -4738670254937.23925781
    3100         205.25199904          65.46444270 -4705020169623.60742188 -4705020169558.14257812
    3200         191.11018874          60.95395932 -4707569079351.19531250 -4707569079290.24121094
    3300         198.31507553          63.25193401 -4785960054924.29882812 -4785960054861.04687500
    3400         200.84791099          64.05977346 -4813627259926.45605469 -4813627259862.39648438
    3500         192.75049878          61.47713076 -4720226643793.32714844 -4720226643731.84960938
    3600         201.30117468          64.20434041 -4781855219349.08984375 -4781855219284.88574219
    3700         205.05333036          65.40107799 -4794688651898.53906250 -4794688651833.13769531
    3800         209.57702996          66.84389694 -4794360528249.30859375 -4794360528182.46484375
    3900         207.98184261          66.33511723 -4806156329912.64453125 -4806156329846.30957031
    4000         195.59443839          62.38419584 -4795533650314.73828125 -4795533650252.35449219
    4100         206.66944522          65.91653245 -4867793491098.42187500 -4867793491032.50488281
    4200         189.60478866          60.47381697 -4822065801003.14160156 -4822065800942.66796875
    4300         215.70020106          68.79686200 -4790541852299.08300781 -4790541852230.28613281
    4400         199.29708931          63.56514404 -4822383483021.82226562 -4822383482958.25683594
    4500         196.09999634          62.54544187 -4766400527389.85058594 -4766400527327.30468750
    4600         216.04571452          68.90706237 -4865220227841.58105469 -4865220227772.67382812
    4700         191.47665697          61.07084315 -4792854858701.95507812 -4792854858640.88378906
    4800         189.20321285          60.34573570 -4807921859724.55664062 -4807921859664.21093750
    4900         215.50250068          68.73380612 -4854436052265.44335938 -4854436052196.70996094
    5000         193.25158353          61.63695007 -4877114721971.67187500 -4877114721910.03515625
    5100         216.49967695          69.05185218 -4893174775935.56445312 -4893174775866.51269531
    5200         212.54502207          67.79052815 -4815622111506.57226562 -4815622111438.78125000
    5300         221.66922134          70.70066117 -4815320483333.63183594 -4815320483262.93164062
    5400         211.21729533          67.36705412 -4825378266376.75195312 -4825378266309.38476562
    5500         210.10417218          67.01202719 -4828347775156.82128906 -4828347775089.80957031
    5600         231.36842720          73.79419064 -4857777722708.62402344 -4857777722634.83007812
    5700         199.03069025          63.48017695 -4898359723773.07617188 -4898359723709.59570312
    5800         201.41572076          64.24087450 -4862903436316.64941406 -4862903436252.40820312
    5900         192.29015793          61.33030657 -4806847249274.92773438 -4806847249213.59765625
    6000         186.45161132          59.46812155 -4793092826389.14257812 -4793092826329.67480469
    6100         198.47559440          63.30313097 -4799032439816.92968750 -4799032439753.62695312
    6200         197.37874142          62.95329336 -4774261034468.14746094 -4774261034405.19433594
    6300         207.82997558          66.28667975 -4729184428017.98925781 -4729184427951.70214844
