       1         325.79852901         103.91235766        -164.98691845         -61.07456079
     100         203.98292392          65.05967541        -126.13019667         -61.07052126
     200         209.59590888          66.84991830        -127.92969939         -61.07978109
     300         197.01650788          62.83776018        -123.90870072         -61.07094054
     400         212.90643621          67.90579999        -128.98224796         -61.07644797
     500         198.82151826          63.41346224        -124.48060814         -61.06714590
     600         204.98450296          65.37912572        -126.44569670         -61.06657098
     700         205.73340654          65.61798602        -126.68924313         -61.07125710
     800         191.58737313          61.10615570        -122.15914063         -61.05298493
     900         212.05748293          67.63502916        -128.70786990         -61.07284073
    1000         195.19702925          62.25744352        -123.33456005         -61.07711653
    1100         203.06238072          64.76607122        -125.83523365         -61.06916243
    1200         221.52971620          70.65616647        -131.72420365         -61.06803718
    1300         201.49553183          64.26632997        -125.33287725         -61.06654727
    1400         189.44649284          60.42332905        -121.47921696         -61.05588791
    1500         195.39195904          62.31961573        -123.39059351         -61.07097779
    1600         216.83849201          69.15991611        -130.24276004         -61.08284392
    1700         214.67824560          68.47091270        -129.54301820         -61.07210549
    1800         198.44688219          63.29397331        -124.36212249         -61.06814919
    1900         207.73379132          66.25600210        -127.33493688         -61.07893478
    2000         188.13571998          60.00526240        -121.06414747         -61.05888507
    2100         210.18332211          67.03727180        -128.10522064         -61.06794884
    2200         209.95746188          66.96523443        -128.04222334         -61.07698891
    2300         214.85802664          68.52825327        -129.60214059         -61.07388732
    2400         208.49277839          66.49807850        -127.56767117         -61.06959267
    2500         200.16908474          63.84326409        -124.91235253         -61.06908845
    2600         204.42994268          65.20225056        -126.26562547         -61.06337491
    2700         193.44640888          61.69908897        -122.76637641         -61.06728744
    2800         208.99020141          66.65672992        -127.72078063         -61.06405071
    2900         202.49409044          64.58481692        -125.64911044         -61.06429351
    3000         202.48595079          64.58222081        -125.64896026         -61.06673945
    3100         203.24718828          64.82501498        -125.89531763         -61.07030266
    3200         193.60204348          61.74872811        -122.80900168         -61.06027357
    3300         197.15976579          62.88345181        -123.94307995         -61.05962813
    3400         203.38345457          64.86847666        -125.93516851         -61.06669185
    3500         205.08077667          65.40983190        -126.48373735         -61.07390545
    3600         183.41633899          58.50003153        -119.56369818         -61.06366665
    3700         201.12868934          64.14932678        -125.21331019         -61.06398340
    3800         230.60185673          73.54969553        -134.62450992         -61.07481439
    3900         213.20622744          68.00141741        -129.06921126         -61.06779385
    4000         198.84869624          63.42213056        -124.48286395         -61.06073338
    4100         200.93961859          64.08902329        -125.16070064         -61.07167734
    4200         213.78201329          68.18506239        -129.25380311         -61.06874073
    4300         191.24084244          60.99563089        -122.06071047         -61.06507958
    4400         211.25122832          67.37787694        -128.44449878         -61.06662185
    4500         196.81770352          62.77435219        -123.83672343         -61.06237124
    4600         195.04292876          62.20829368        -123.28240841         -61.07411473
    4700         220.44723135          70.31091153        -131.38130015         -61.07038863
    4800         201.77347846          64.35498013        -125.41848892         -61.06350879
    4900         189.96483405          60.58865225        -121.65016225         -61.06150999
    5000         205.26921960          65.46993514        -126.53903291         -61.06909777
    5100         204.11425021          65.10156150        -126.17221321         -61.07065171
    5200         190.80918082          60.85795385        -121.92137277         -61.06341892
    5300         198.57247974          63.33403223        -124.40252799         -61.06849576
    5400         208.24099977          66.41777455        -127.48584021         -61.06806566
    5500         210.44154454          67.11963099        -128.18235969         -61.06272870
    5600         213.38666150          68.05896625        -129.12688697         -61.06792072
    5700         223.30684217          71.22297489        -132.29162260         -61.06864771
    5800         207.56367088          66.20174275        -127.26922520         -61.06748245
    5900         209.36776530          66.77715267        -127.85829100         -61.08113833
    6000         174.21610732          55.56564822        -116.62767397         -61.06202575
    6100         192.09699199          61.26869694        -122.33733665         -61.06863971
    6200         217.85548593          69.48428294        -130.55315451         -61.06887157
    6300         218.14305588          69.57600242        -130.64884986         -61.07284743
    6400         198.57464295          63.33472218        -124.40363621         -61.06891404
    6500         195.96630153          62.50280035        -123.57843096         -61.07563060
    6600         206.58073034          65.88823713        -126.96109606         -61.07285892
    6700         190.57239024          60.78243028        -121.84359783         -61.06116754
    6800         205.22076054          65.45447929        -126.52008784         -61.06560855
    6900         219.87447479          70.12823273        -131.19252436         -61.06429163
    7000         201.31192209          64.20776826        -125.27563966         -61.06787140
    7100         218.93513035          69.82863194        -130.90539649         -61.07676454
    7200         209.01060550          66.66323774        -127.73854418         -61.07530645
    7300         222.96785128          71.11485488        -132.18040922         -61.06555434
    7400         215.75677343          68.81490557        -129.88885061         -61.07394504
    7500         195.44249066          62.33573262        -123.39779941         -61.06206679
    7600         211.34612051          67.40814248        -128.47040162         -61.06225913
    7700         204.27114362          65.15160213        -126.22509729         -61.07349516
    7800         216.02020624          68.89892659        -129.97254582         -61.07361924
    7900         195.15612691          62.24439785        -123.31902592         -61.07462807
    8000         199.05019572          63.48639815        -124.55402207         -61.06762392
    8100         211.84261024          67.56649623        -128.63496653         -61.06847029
    8200         209.69201428          66.88057080        -127.94422179         -61.06365098
    8300         198.29686064          63.24612443        -124.30886496         -61.06274052
    8400         199.47559258          63.62207707        -124.68180439         -61.05972732
    8500         205.37905315          65.50496619        -126.58522780         -61.08026161
    8600         200.41380367          63.92131638        -124.99145055         -61.07013417
    8700         211.60399314          67.49039010        -128.55662937         -61.06623927
    8800         189.58860405          60.46865495        -121.53507669         -61.06642174
    8900         190.74363330          60.83704768        -121.90407646         -61.06702877
    9000         202.74964133          64.66632403        -125.72367874         -61.05735471
    9100         215.55655366          68.75104614        -129.82006076         -61.06901463
    9200         199.80771174          63.72800537        -124.79438872         -61.06638335
